row_id,waktu,tweet_id,username,tweet,web,lokasi
1,5/1/2021 9:12,1.37E+18,Penghirup Oksigen, Makhluk- makhluk yang seolah-olah   pada gk punya pakaian lagi. Mendesak kebijakan   saat ini   Jaga Jarak  gagal total.,,
2,5/6/2021 9:12,1.37E+18,Serambi Indonesia,"Khusus konsumen atau pengungjung wanita, pelayanan di Lhokseumawe dibatasi hingga pukul 22.00 malam, kecuali dengan mahramnya ucap Wali Kota # ",,
3,5/4/2021 2:38,1.37E+18,Serambi Indonesia,"#  kita minta kepada pemilik usaha, agar dapat menutup sementara tempat usahanya selama masa Pemberlakuan Pembatasan Kegiatan Masyarakat ( ) ",,
4,5/4/2021 19:45,1.37E+18,minews,"Kebijakan pelonggaran aktivitas   sejak   jilid 2, mampu memberikan ruang bagi masyarakat untuk berkegiatan  . Sedikit demi sedikit, memberikan dampak terhadap   ",,
5,5/4/2021 19:45,1.37E+18,minews,"Hal ini ( ) tentu saja berpengaruh terhadap pola konsumsi, di mana ketika masyarakat lebih banyak bersosialisasi, konsumsi akan meningkat",,
6,5/4/2021 20:15,1.37E+18,Nugroho,"Pemerintah daerah hendaknya mulai memberikan ruang terhadap kegiatan yang selama ini terhenti, seperti pariwisata, industri, jasa, dan lainnya, namun dengan tetap mengingatkan masyarakat untuk menjalankan protokol kesehatan",,
7,2/11/2021 11:15,1.37E+18,Komite Harian,"Itu yang justru harus diapresiasi bahwa dalam pelaksanaan   ini walaupun kondisi seperti ini maintenance dan pekerjaan masyarakat tetep terjaga, pelayanan toko pedagang tetap baik namun dengan protokol Covid-19 sangat diutamakan",,
8,2/11/2021 16:44,1.37E+18,Airin,"Gambaran hari pertama penerapan   menurut saya Pelanggaran terhadap protokol kesehatan masih saja terus terjadi. Pembatasan hanya dilakukan di perkantoran, pusat perbelanjaan, dan tempat hiburan tapi tidak di pasar tradisional dan rumah makan.",,
9,2/10/2021 2:19,1.37E+18,MATA INDONESIA,"Saya dukung ika ada sanksi 250 ribu rupiah untuk mereka yang tidak mengenakan masker, yang dianggap nominalnya terlalu kecil sehingga tidak terlalu memberi efek jera. Biar tidak Cuma nyinyir di internet",,
10,2/8/2021 20:02,1.37E+18,hiyaa,"menurut mata saya pembatasan hanya terjadi di perkantoran, pusat perbelanjaan, dan tempat hiburan. Sedangkan kerumunan tetap terjadi di sejumlah titik seperti pasar tradisional dan rumah makan. Akibatnya, pelanggaran terhadap protokol kesehatan selama   terus terjadi.",,
11,2/6/2021 18:22,1.37E+18,bodong,pemerintah kerap berganti kebijakan untuk membatasi aktivitas sosial dan  . Tidak konsistennya kebijakan yang berlaku terjadi antara pemerintah pusat dengan daerah,,
12,2/6/2021 12:06,1.37E+18,sektorekonomiA,"dengan adanya  , selama kasus Covid-19 juga ikut turun dan bukan sebaliknya. Meskipun tidak dapat dipungkiri, menghadapi tantangan pandemi Covid-19 perlu mengandalkan sektor  ",,
13,2/6/2021 17:26,1.37E+18,5MedRev,"  diperketat, serius pak? Kayaknya tidak efektif dan buang buang duit saja",,
14,2/8/2021 17:23,1.37E+18,Safira Ginanisa,"  berdampak pada penurunan  . Ia mengatakan, masalah penurunan   tidak perlu dikhawatirkan, selama   mampu menekan kasus positif Covid",,
15,1/31/2021 21:00,1.37E+18,Ryan Virgiawan,Kafe berulah kembali dengan buka diatas jam operasional. Sudah diperingatkan sebelumnya oleh pihak kelurahan dan kecamatan hingga dua-tiga kali akhirnya kami lakukan penghentian aktivitas usaha sementara. Kondisi ini dikhawatirkan bisa memperparah penyebaran pandemic Covid-19 karena warga kerap berkumpul di lokasi nongkrong,,
16,1/11/2021 7:03,1.37E+18,Afif Ardiansyah,"untuk rumah makan, warung makan, restoran, atau kafe bila ditemukan pelanggaran, maka langsung ditutup oleh petugas Satpol PP dengan maksimal waktu tunggu selama 2 jam setelah penertiban",,
17,4/23/2021 12:14,1.37E+18,news radio,dukung pemerintah di masa pembatasan ini untuk subsidi ongkos kirim makanan dan minuman. Setuju,,
18,4/20/2021 0:18,1.37E+18,haiLati,Pemerintah Subsidi Ongkos kirim untuk Industri Makanan dan minuman. Kebijakan tersebut sebagai kompensasi diperpanjangnya Pembatasan Kegiatan Masyarakat ( ) skala   yang mengakibatkan larangan mudik,,
19,4/19/2021 18:45,1.37E+18,Imam Bachtiar,Pemerintah mau membantu pemasaran secara online dengan memberi subsidi gratis ongkos kirim pada hari belanja nasional sebelum Lebaran,,
20,4/19/2021 18:45,1.37E+18,Imam Bachtiar,"Bantuan pemerintah melalui subsidi ongkos kirim tersebut akan cukup membantu, meskipun tidak dapat menggantikan pasar saat Ramadan dan Idul   pada kondisi normal # ",,
21,4/19/2021 18:47,1.37E+18,Adhi,Dengan bantuan   subsidi pemerintah pelaku industri makanan dan minuman optimistis dengan momen puasa dan Lebaran tahun ini sejak Januari  -  Februari 2021. Hal tersebut terlihat    dari    mulai naiknya kontrak pesanan pada awal tahun. Ayo kita dukung kebijakan terbaik ini,,
22,2/3/2021 13:53,1.37E+18,liputan6,"Mobilitasnya masih relatif tinggi itu adalah tempat kerja maupun area pemukiman, sehingga area pemukiman ini menjadi perhatian",,
